t203a4306101106,应启用登陆超时锁定。,未启用登陆超时锁定，用户处于运行且缺少监管状态，会有非法侵入和攻击者利用的重大安全风险。,应启用登陆超时锁定。
t203a4306101107,日志访问权限应符合要求。,日志访问权限不符合要求，说明操作系统在用户权限管理方面存在不足，会造成日志信息的泄露、破坏和丢失。,日志访问权限应符合要求。
t203a4306101106,应启用登陆超时锁定。,未启用登陆超时锁定，用户处于运行且缺少监管状态，会有非法侵入和攻击者利用的重大安全风险。,应启用登陆超时锁定。
t203a4306101107,日志访问权限应符合要求。,日志访问权限不符合要求，说明操作系统在用户权限管理方面存在不足，会造成日志信息的泄露、破坏和丢失。,日志访问权限应符合要求。
t203g4303101111,应开启系统日志和系统安全审计功能。,未开启系统日志和系统安全审计功能，说明操作系统在安全审计方面存在不足，缺失系统日志，无法进行系统安全审计，对安全事件无法做到记录、报警、分析和追溯。,应开启系统日志和系统安全审计功能。
t203g4303101112,应开启对管理、特权和安全等行为进行审计。,未开启对管理、特权和安全等行为进行审计，说明操作系统在安全审计方面存在不足，缺失管理、特权和安全等行为的记录和追溯。,应开启对管理、特权和安全等行为进行审计。
t203g4303101111,应开启系统日志和系统安全审计功能。,未开启系统日志和系统安全审计功能，说明操作系统在安全审计方面存在不足，缺失系统日志，无法进行系统安全审计，对安全事件无法做到记录、报警、分析和追溯。,应开启系统日志和系统安全审计功能。
t203g4303101112,应开启对管理、特权和安全等行为进行审计。,未开启对管理、特权和安全等行为进行审计，说明操作系统在安全审计方面存在不足，缺失管理、特权和安全等行为的记录和追溯。,应开启对管理、特权和安全等行为进行审计。
t203g4304101131,应关闭talk服务。,未关闭talk服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭talk服务。
t203g4304101132,应关闭ntalk服务。,未关闭ntalk服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭ntalk服务。
t203g4304101133,应关闭pop-2服务。,未关闭pop-2服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭pop-2服务。
t203g4304101134,应关闭sendmail服务。,未关闭sendmail服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭sendmail服务。
t203g4303101111,应开启系统日志和系统安全审计功能。,未开启系统日志和系统安全审计功能，说明操作系统在安全审计方面存在不足，缺失系统日志，无法进行系统安全审计，对安全事件无法做到记录、报警、分析和追溯。,应开启系统日志和系统安全审计功能。
t203g4303101112,应开启对管理、特权和安全等行为进行审计。,未开启对管理、特权和安全等行为进行审计，说明操作系统在安全审计方面存在不足，缺失管理、特权和安全等行为的记录和追溯。,应开启对管理、特权和安全等行为进行审计。
t203g4304101131,应关闭talk服务。,未关闭talk服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭talk服务。
t203g4304101132,应关闭ntalk服务。,未关闭ntalk服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭Ntalk服务。
t203g4304101133,应关闭pop-2服务。,未关闭pop-2服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭pop-2服务。
t203g4304101134,应关闭sendmail服务。,未关闭sendmail服务，说明操作系统在安全管理方面存在不足，为攻击者提供了一个进行系统攻击的渠道。,应关闭seNdmail服务。
t203s4301102109,应无相同UID账户。,有相同UID账户，说明操作系统在账户管理方面存在缺陷，相同UID账户使攻击者有机会利用合法用户登录的时机进入系统，使系统被攻击的风险大大增加。,应无相同UID账户。
